species	scientific name	family	long_days	long_yr	times_captured	num_recap	sex
Yellow-margined Flycatcher	Tolmomyias assimilis	Tyrannidae	2201	6.03	2	1	unknown
Wing-banded Antbird	Myrmornis torquata	Thamnophilidae	2546	6.98	6	5	female
Wing-banded Antbird	Myrmornis torquata	Thamnophilidae	1831	5.02	3	2	female
White-whiskered Puffbird	Malacoptila panamensis	Bucconidae	4118	11.28	2	1	male
White-whiskered Puffbird	Malacoptila panamensis	Bucconidae	3651	10	2	1	male
White-whiskered Puffbird	Malacoptila panamensis	Bucconidae	3331	9.13	3	2	male
White-whiskered Puffbird	Malacoptila panamensis	Bucconidae	3027	8.29	8	7	male
White-whiskered Puffbird	Malacoptila panamensis	Bucconidae	2553	6.99	6	5	female
White-whiskered Puffbird	Malacoptila panamensis	Bucconidae	2196	6.02	11	10	female
White-flanked Antwren	Myrmotherula axillaris	Thamnophilidae	4009	10.98	14	13	male
White-flanked Antwren	Myrmotherula axillaris	Thamnophilidae	3897	10.68	4	3	male
White-flanked Antwren	Myrmotherula axillaris	Thamnophilidae	3164	8.67	7	6	male
White-flanked Antwren	Myrmotherula axillaris	Thamnophilidae	3033	8.31	6	5	female
White-breasted Wood-wren	Henicorhina leucosticta	Troglodytidae	2327	6.38	2	1	male
White-breasted Wood-wren	Henicorhina leucosticta	Troglodytidae	1707	4.68	9	8	unknown
Wedge-billed Woodcreeper	Glyphorynchus spirurus	Furnariidae	2195	6.01	6	5	unknown
Wedge-billed Woodcreeper	Glyphorynchus spirurus	Furnariidae	1816	4.98	4	3	unknown
Tawny-faced Gnatwren	Microbates cinereiventris	Polioptilidae	2693	7.38	2	1	unknown
Tawny-faced Gnatwren	Microbates cinereiventris	Polioptilidae	2434	6.67	5	4	unknown
Tawny-faced Gnatwren	Microbates cinereiventris	Polioptilidae	1835	5.03	6	5	unknown
Sulphur-rumped Flycatcher	Myiobius sulphureipygius	Tyrannidae	2188	5.99	22	21	unknown
Sulphur-rumped Flycatcher	Myiobius sulphureipygius	Tyrannidae	1523	4.17	11	10	unknown
Streak-chested Antpitta	Hylopezus perspicillatus	Grallariidae	3752	10.28	4	3	unknown
Streak-chested Antpitta	Hylopezus perspicillatus	Grallariidae	2570	7.04	3	2	unknown
Streak-chested Antpitta	Hylopezus perspicillatus	Grallariidae	2539	6.96	6	5	unknown
Spotted Antbird	Hylophylax naevioides	Thamnophilidae	3421	9.37	27	26	female
Spotted Antbird	Hylophylax naevioides	Thamnophilidae	2943	8.06	18	17	female
